rank,country,units_sold,revenue_usd,unique_buyers,purchase_sessions
1,US,2148,43030.0,534,579
2,IN,427,8480.0,121,130
3,CA,410,8553.0,91,100
4,GB,165,3197.0,44,50
5,FR,115,1946.0,29,33
6,ES,106,1794.0,26,30
7,JP,103,1960.0,29,32
8,TW,91,1587.0,25,30
9,TR,81,1566.0,17,18
10,DE,77,1330.0,19,20
11,CN,75,1727.0,17,20
12,BR,68,1234.0,11,12
13,SG,68,1141.0,16,16
14,IT,66,1210.0,18,20
15,AU,50,897.0,14,14
16,MY,46,787.0,5,6
17,ID,46,725.0,8,8
18,KR,44,955.0,15,15
19,GR,42,743.0,8,9
20,NL,40,769.0,13,15
21,SE,37,458.0,9,9
22,RU,34,650.0,10,10
23,,34,578.0,8,11
24,MX,31,769.0,9,9
25,SI,31,276.0,4,7
26,HK,30,770.0,5,8
27,TH,30,630.0,9,9
28,PH,29,519.0,4,5
29,VN,28,582.0,3,6
30,IE,27,634.0,8,10
31,PL,27,593.0,10,10
32,CH,22,215.0,4,4
33,AR,21,247.0,3,4
34,CO,17,431.0,7,7
35,PT,16,252.0,6,6
36,IL,15,240.0,4,4
37,FI,14,321.0,7,7
38,NG,13,235.0,4,4
39,EG,11,130.0,3,3
40,DK,10,154.0,4,5
41,DO,10,150.0,1,1
42,MK,9,204.0,2,2
43,RO,8,215.0,3,3
44,PK,8,167.0,4,4
45,KZ,8,120.0,1,1
46,BD,8,73.0,1,1
47,SA,7,222.0,2,2
48,SK,7,168.0,1,1
49,UA,7,155.0,3,3
50,UY,7,82.0,2,2
51,SV,6,176.0,1,3
52,NZ,6,139.0,2,3
53,PE,6,75.0,2,2
54,MN,5,118.0,2,2
55,AT,5,106.0,3,3
56,CZ,4,152.0,1,1
57,PR,4,111.0,1,1
58,RS,4,51.0,1,1
59,CL,3,89.0,2,2
60,DZ,3,83.0,2,2
61,LT,3,66.0,2,2
62,NO,3,62.0,1,1
63,BA,3,48.0,1,1
64,PA,3,46.0,1,1
65,KH,3,45.0,1,1
66,XK,3,20.0,1,1
67,AE,2,79.0,2,2
68,LK,2,72.0,1,1
69,KE,2,48.0,1,1
70,MA,2,26.0,1,1
71,BG,2,20.0,1,1
72,TN,1,63.0,1,1
73,HR,1,32.0,1,1
74,CR,1,24.0,1,1
75,BE,1,24.0,1,1
76,HN,1,14.0,1,1
